timestamp_sec,joint,angle_diff_deg
13.4,right_shoulder,-63.89
13.4,left_knee,-25.05
13.4,right_knee,49.13
13.433,left_elbow,-156.21
13.433,right_elbow,-162.56
13.433,left_shoulder,19.46
13.433,right_shoulder,-51.34
13.433,left_knee,-19.43
13.433,right_knee,38.12
13.467,left_elbow,-149.89
13.467,right_elbow,-163.29
13.467,left_shoulder,29.94
13.467,right_shoulder,-50.53
13.467,left_knee,-31.88
13.467,right_knee,16.23
13.5,left_elbow,-136.29
13.5,right_elbow,-152.84
13.5,left_shoulder,31.98
13.5,right_shoulder,-45.3
13.5,left_knee,-20.81
13.5,right_knee,-5.3
13.533,left_elbow,-124.71
13.533,right_elbow,-141.86
13.533,left_shoulder,38.61
13.533,right_shoulder,-53.23
13.533,left_knee,-1.05
13.533,right_knee,-19.39
13.567,left_elbow,-121.97
13.567,right_elbow,-127.04
13.567,left_shoulder,36.41
13.567,right_shoulder,-41.97
13.567,left_knee,-0.43
13.567,right_knee,-12.28
13.6,left_elbow,-127.68
13.6,right_elbow,-114.39
13.6,left_shoulder,38.3
13.6,right_shoulder,-16.91
13.6,left_knee,-9.93
13.6,right_knee,-19.56
13.633,left_elbow,-135.18
13.633,right_elbow,-122.45
13.633,left_shoulder,50.64
13.633,right_shoulder,-2.96
13.633,left_knee,-1.11
13.633,right_knee,-9.8
13.667,left_elbow,-148.06
13.667,right_elbow,-106.46
13.667,left_shoulder,57.15
13.667,right_shoulder,8.13
13.667,left_knee,12.5
13.667,right_knee,5.2
13.7,left_elbow,-46.32
13.7,right_elbow,-70.75
13.7,left_shoulder,18.68
13.7,right_shoulder,30.8
13.7,left_knee,19.63
13.7,right_knee,9.41
13.733,left_elbow,30.4
13.733,right_elbow,-42.1
13.733,left_shoulder,-9.67
13.733,right_shoulder,38.2
13.733,left_knee,16.85
13.733,right_knee,12.44
13.767,left_elbow,46.04
13.767,right_elbow,-12.81
13.767,left_shoulder,41.83
13.767,right_shoulder,33.12
13.767,left_knee,16.05
13.767,right_knee,15.53
13.8,left_elbow,77.53
13.8,right_elbow,13.7
13.8,left_shoulder,44.77
13.8,right_shoulder,39.92
13.8,left_knee,19.4
13.8,right_knee,17.45
13.833,left_elbow,40.55
13.833,right_elbow,35.51
13.833,left_shoulder,51.89
13.833,right_shoulder,33.39
13.833,left_knee,-1.94
13.833,right_knee,12.14
13.867,left_elbow,10.85
13.867,right_elbow,140.35
13.867,left_shoulder,31.42
13.867,right_shoulder,17.31
13.867,left_knee,14.54
13.867,right_knee,18.58
13.9,left_elbow,9.17
13.9,right_elbow,135.9
13.9,left_shoulder,21.87
13.9,right_shoulder,8.89
13.9,left_knee,10.67
13.9,right_knee,2.69
13.933,left_elbow,10.15
13.933,right_elbow,138.6
13.933,left_shoulder,9.53
13.933,right_shoulder,3.63
13.933,left_knee,-7.49
13.933,right_knee,41.79
13.967,left_elbow,7.04
13.967,right_elbow,140.88
13.967,left_shoulder,14.4
13.967,right_shoulder,-0.42
13.967,left_knee,1.84
13.967,right_knee,46.52
14.0,left_elbow,10.92
14.0,right_elbow,143.53
14.0,left_shoulder,12.43
14.0,right_shoulder,2.11
14.0,left_knee,7.6
14.0,right_knee,53.88
14.033,left_elbow,14.05
14.033,right_elbow,137.78
14.033,left_shoulder,-1.97
14.033,right_shoulder,-4.51
14.033,left_knee,11.21
14.033,right_knee,50.42
14.067,left_elbow,12.43
14.067,right_elbow,135.52
14.067,left_shoulder,-6.53
14.067,right_shoulder,-3.47
14.067,left_knee,9.03
14.067,right_knee,25.52
14.1,left_elbow,20.87
14.1,right_elbow,128.4
14.1,left_shoulder,-7.31
14.1,right_shoulder,-3.35
14.1,left_knee,16.11
14.1,right_knee,7.81
14.133,left_elbow,-140.04
14.133,right_elbow,66.45
14.133,left_shoulder,-2.2
14.133,right_shoulder,0.42
14.133,left_knee,18.85
14.133,right_knee,0.52
14.167,left_elbow,-141.21
14.167,right_elbow,27.34
14.167,left_shoulder,-5.26
14.167,right_shoulder,6.02
14.167,left_knee,40.94
14.167,right_knee,-1.36
14.2,left_elbow,-163.4
14.2,right_elbow,10.53
14.2,left_shoulder,-8.49
14.2,right_shoulder,7.84
14.2,left_knee,26.91
14.2,right_knee,5.77
14.233,left_elbow,-138.15
14.233,right_elbow,6.31
14.233,left_shoulder,2.89
14.233,right_shoulder,28.37
14.233,left_knee,50.61
14.233,right_knee,5.9
14.267,left_elbow,-132.3
14.267,right_elbow,-7.62
14.267,left_shoulder,9.0
14.267,right_shoulder,46.99
14.267,left_knee,41.68
14.267,right_knee,8.84
14.3,left_elbow,-111.77
14.3,right_elbow,-4.18
14.3,left_shoulder,9.5
14.3,right_shoulder,54.12
14.3,left_knee,56.81
14.3,right_knee,15.47
14.333,left_elbow,-91.92
14.333,right_elbow,-1.44
14.333,left_shoulder,9.34
14.333,right_shoulder,63.3
14.333,left_knee,46.94
14.333,right_knee,22.79
14.367,left_elbow,-72.53
14.367,right_elbow,-17.14
14.367,left_shoulder,13.08
14.367,right_shoulder,72.57
14.367,left_knee,23.89
14.367,right_knee,28.14
14.4,left_elbow,-50.73
14.4,right_elbow,-23.53
14.4,left_shoulder,12.74
14.4,right_shoulder,79.08
14.4,left_knee,22.43
14.4,right_knee,13.46
14.433,left_elbow,-44.68
14.433,right_elbow,-26.15
14.433,left_shoulder,2.52
14.433,right_shoulder,90.85
14.433,left_knee,22.06
14.433,right_knee,7.69
14.467,left_elbow,-31.84
14.467,right_elbow,-55.69
14.467,left_shoulder,-9.4
14.467,right_shoulder,85.05
14.467,left_knee,4.96
14.467,right_knee,5.09
14.5,left_elbow,-13.76
14.5,right_elbow,-78.02
14.5,left_shoulder,-6.21
14.5,right_shoulder,82.59
14.5,left_knee,0.18
14.5,right_knee,8.41
14.533,left_elbow,-11.75
14.533,right_elbow,-115.66
14.533,left_shoulder,-20.87
14.533,right_shoulder,81.8
14.533,left_knee,11.94
14.533,right_knee,-18.94
14.567,left_elbow,-5.87
14.567,right_elbow,-144.86
14.567,left_shoulder,-30.38
14.567,right_shoulder,67.84
14.567,left_knee,5.0
14.567,right_knee,-8.29
14.6,left_elbow,-3.21
14.6,right_elbow,-163.87
14.6,left_shoulder,-35.92
14.6,right_shoulder,51.52
14.6,left_knee,-10.21
